Question,Options
下列哪项不是判断因果联系的标准,"A 时间顺序
B 联系的合理性
C 样本大小
D 剂量反应关系
E 联系强度"
疾病发生的基本条件是,"A 机体抵抗力下降
B 环境中有大量的病原体存在
C 人群中营养状况普遍不良
D 致病因素与宿主同时存在
E 致病因素、宿主和环境相互作用失去平衡"
某地发生的大规模不明发热流行中，当地的农民罹患率高，参加过支农劳动的国家职工发病者亦甚多，在寻找病因时，主要利用下列哪种逻辑思维方法,"A 求同法
B 求异法
C 共变法
D 排除法
E 以上都不是"
病因研究中要获得工作假设，有一种方法是求异法，例如,"A 某学校发生食物中毒，患者均为进食学生午餐盒饭者，不进食者不发生，因而盒饭为可疑病因
B 某市发生散发食物中毒多起，调查患者均有进食某熟食店某食品史，该食品为可疑病因
C 某厂供应的学生午餐饭盒，供应若干学校，各校用餐人数不等，用餐多的学校食物中毒发生人数多，该厂盒饭为可疑病因
D 某厂供应相同的午餐饭盒给若干学校，仅一个学校发生食物中毒，经调查食物中毒发生在该校自供午餐的班级，因而该厂盒饭并非病因
E 某市发生食物中毒多起，经化验大多由同一病原微生物所致"
因果关联是指,"A 暴露-疾病有较强的统计学关联
B 暴露-疾病分类资料存在相关
C 暴露-疾病排除偏倚后的关联
D 暴露-疾病有时间先后的无偏关联"
病因对疾病的作用在时间上必须在疾病发病,"A 之后
B 同时
C 之前
D 以上都可能
E 以上均不对"
职业病的主要发病危险因素是,"A 生物因素
B 化学因素
C 物理因素
D 劳动过程中的有害因素
E 生产环境中的有害因素"
有对照（比较）组的研究，其共同的逻辑学基础是,"A 求同法
B 差异法
C 同异并用法
D 共变法"
某因素与某病有统计学上的关联，特别是RR或OR较大时，要确定该因素为某病的病因尚需,"A 肯定该因素须发生在疾病之前
B 排除选择偏性
C 排除信息偏性
D 排除混杂
E 排除该因素与疾病的联系为虚假联系和间接关联"
下列不属于因果关系的是,"A 病因与疾病的关系
B 治疗与其副作用的关系
C 干预措施与其效果的关系
D 人群与疾病的关系
E 疾病及其并发症的关系"
达尔文发现，不同类的动物在相同的环境下有不同的性状；相同类的动物在不同的环境下，具有不同的性状，这类寻求因果关系的方法是,"A 求同法
B 求异法
C 同异共用法
D 共变法"
随着吸烟量的增加，肺癌的发生危险（RR）也增加，由此支持吸烟导致肺癌的因果联系，这一推理运用的是,"A 求同法
B 差异法
C 共变法
D 同异并用法"
病因模型的主要用途不包括,"A 阐述病因之间的关系
B 阐述病因与疾病的关系
C 指示病因的方向，以揭示新的病因
D 是流行病学研究设计的理论基础
E 解释流行病学概念和原理"
为研究幽门螺杆菌感染与十二指肠溃疡的关系，开展以下研究：①调查某地324名幽门螺杆菌感染者，10年中有11%发生十二指肠溃疡；而133例非感染者仅有0.8%发生十二指肠溃疡，RR=13.75。②临床预后比较抗菌治疗组：用三联抗菌清除幽门螺杆菌，该组溃疡复发率为0。非抗菌治疗组：用组胺拮抗剂治疗，该组溃疡复发率为60%～80%。结论：幽门螺杆菌是十二指肠溃疡的病因之一。10年中，幽门螺杆菌感染者11%发生十二指肠溃疡，而133例非感染者仅有0.8%发生十二指肠溃疡，RR＞10，P＜0.05。该结论符合病因推断标准中的,"A 关联的一致性
B 关联的重复性
C 剂量﹣反应关系证据
D 关联时间顺序和关联强度证据
E 关联合理性证据"
广义关联强度包括,"A 分类相关、积差相关和分布一致性
B 分类相关、剂量-反应关系和等级相关
C 等级相关、剂量-反应关系和生态学相关
D 分类相关、等级相关和分布一致性
E 分类相关、剂量-反应关系和生态学相关"
确定暴露于某因素与某病发生因果关系时，下列哪一条可不加考虑,"A 联系的强度和特异性
B 剂量反应关系与现代科学知识协调
C 时间顺序即暴露于疾病发生之前
D 对联系进行统计学检验所得P值大小
E 不同研究条件（地点、时间、人群）所得结果一致性"
结核杆菌是导致肺结核的,"A 充分病因
B 必要病因
C 两者均是
D 两者均否"
关于病因观，错误的是,"A 传染病的病因是单一的
B 病因来源于环境和宿主
C 流行病学三角模型包括病因、宿主和环境
D 病因网络模型有利于病因探索
E 有果必有因"
混淆因素的作用是,"A 使暴露因素与研究结果之间的关联减弱
B 使暴露因素与研究结果之间的关联增强
C 使暴露因素与研究结果之间的关联增强或减弱
D 使暴露因素与研究结果之间的关联无关
E 以上均不对"
病因网（络）模型的主要优点是,"A 涉及的病因链较多且相互交错
B 涉及的因素清晰具体且系统性强
C 没有确定必要病因的困难
D 没有确定充分病因的困难
E 涉及因素具体且可操作性强"
静脉注射吸毒是艾滋病毒感染的,"A 直接病因
B 间接病因
C 同机制有关的近因
D 必要病因
E 充分病因"
在判断因果联系的标准中，存在剂量-反应关系表明,"A 联系的强度不明显
B 随着暴露剂量增加（或降低）而联系强度也随之增大（或降低）
C 疾病的患病率高
D 疾病的发病率降低
E 因果之间的联系存在许多偏倚"
流行病学的分析性研究不包括,"A 病例对照研究
B 临床试验
C 队列研究
D 回顾性队列研究
E 匹配的病例对照研究"
流行病学研究解决的问题不包括,"A 疾病的分布及其影响因素
B 疾病的防制措施
C 疾病病因
D 增进人群健康的策略
E 临床治疗"
流行病学研究对象的三个层次是指,"A 疾病、伤害、健康
B 病人、非病人、一般人群
C 传染病、慢性病、慢性非传染性疾病
D 死亡、患病、健康
E 疾病、健康、突发事件"
关于分析性研究的叙述，下列哪项是正确的,"A 分析性研究属于流行病学实验
B 流行病学的分析性研究包括数学模型和普查
C 分析性研究属观察法，主要包括病例对照研究和队列研究
D 病例对照研究和队列研究的研究时间顺序一致"
关于流行病学，下列哪种说法是正确的,"A 从个体的角度研究疾病和健康状况及其影响因素
B 只研究传染病的流行和防治
C 只研究慢性病的危险因素
D 研究人群中疾病和健康状况的分布及其影响因素
E 只研究疾病的防制措施"
一定时期内患某病的全部患者中因该病死亡者所占的比例为,"A 引入率
B 续发率
C 发病率
D 病死率
E 累积死亡率"
以下哪一个不是流行病学的特征,"A 群体特征
B 以分布为起点的特征
C 以治疗疾病为主的特征
D 对比的特征
E 预防为主的特征"
流行病学任务的三个阶段是,"A 描述分布、提出假设、验证假设
B 揭示现象、找出原因、提供措施
C 整理资料、分析资料、得出结论
D 观察性研究、实验性研究、理论性研究
E 筛查患者、确诊患者、治疗患者"
流行病学的研究对象是,"A 病人
B 非病人
C 人群
D 个体
E 病原携带者"
关于实验流行病学描述正确的是,"A 为病因研究提供线索
B 提出病因假设
C 证实或确证假设
D 是分析性研究的基础
E 描述疾病和健康状态的分布"
流行病学的研究范围是,"A 传染病
B 地方病
C 传染病和地方病
D 传染病和非传染病
E 疾病和健康状况"
下列描述队列研究与实验性研究相同点不正确的是,"A 费钱
B 都可能产生失访偏倚
C 都需要给予人为的干预措施
D 都需设立对照组
E 都是由因及果的研究方法"
流行病学研究中最为重要的研究方法是,"A 观察法
B 实验法
C 理论法
D 方法学研究
E 以上都不是"
关于流行病学下列哪条是不正确的,"A 它是医学的基础学科
B 它以个体为研究对象
C 它能为卫生决策提供依据
D 它可以研究疾病的自然史"
下列哪一点不是流行病学定义中的内涵,"A 研究对象是人群
B 不仅研究疾病，而且研究健康状态
C 重点研究疾病的症状及体征
D 重点研究疾病及健康状态的分布及影响因素，并提出控制消灭疾病促进健康的策略及措施"
流行病学的描述性研究不包括,"A 队列研究
B 监测
C 现患调查
D 生态学研究
E 病例报告"
以下哪项不是流行病学研究的范围,"A 疾病的流行特征
B 疾病的病因
C 疾病的防制措施
D 流行病学研究方法
E 疾病的临床诊治"
以下哪项不是流行病学的用途,"A 探索病因
B 预防措施的效果评价
C 临床观察
D 人群患病情况分析
E 评价治疗措施的效果"
属于分析性研究的是,"A 疾病监测
B 队列研究
C 临床试验
D 临床指南
E 系统评价"
观察期内带病入家的某身份成员数占其同等身份成员数的比例为,"A 引入率
B 续发率
C 发病率
D 病死率
E 累积死亡率"
现代流行病学的形成与发展不包括下面哪个部分,"A 对传染病流行因素的研究
B 对慢性病流行因素的研究
C 对疾病防制措施的研究
D 对疾病临床治疗的研究
E 流行病学研究方法的发展"
随着大数据时代的到来和组学技术的发展，作为病因学研究的引领方向是,"A 生态流行病学
B 系统流行病学
C 遗传流行病学
D 行为流行病学
E 药物流行病学"
关于描述性研究，叙述不正确的是,"A 描述疾病和健康状态的分布
B 为病因研究提供线索
C 提出病因假设
D 检验或验证假设
E 是分析性研究的基础"
流行病学的描述性研究不包括,"A 普查
B 抽样调查
C 病例对照研究
D 现况研究
E 生态学研究"
目前，适合我国流行病学的定义是,"A 研究疾病和健康状况在人群中的分布的学科
B 预防医学的一门方法学
C 研究常见病在人群中的分布及影响分布的因素以及预防对策的学科
D 研究疾病与健康状况在人群中的分布和影响分布的因素以及预防对策的学科
E 研究传染病在人群中的分布和影响分布的因素以及预防对策的学科"
使用比值比反映暴露与疾病联系强度的研究为,"A 描述性研究
B 病例对照研究
C 队列研究
D 流行病学实验研究
E 分析性研究"
流行病学研究的基本方法是,"A 病原微生物的分离鉴定
B 先进的仪器诊断技术
C 调查分析
D 精确的检测手段"
通过现况调查与随后的定期随访，对早期糖尿病或无症状的葡萄糖耐受试验阳性者观察其经过若干年后的结局和转归。这类研究属于,"A 疾病的自然史研究
B 疾病各阶段的比例研究
C 疾病的管理模式研究
D 疾病的危险因素研究
E 疾病的预防方案研究"
客观地反映某一时点的疾病分布以及人们的某些特征与疾病之间的联系，这样的研究为,"A 描述性研究
B 病例对照研究
C 队列研究
D 流行病学实验研究
E 分析性研究"
关于肿瘤发病预测模型的研究为,"A 现况研究
B 病例对照研究
C 队列研究
D 实验流行病学
E 理论流行病学"
描述性研究不包括,"A 生态学研究
B 横断面调查
C 队列研究
D 个案研究
E 病例报告"
美国弗明汉地区，通过对一批人的长期随访观察，研究心血管病及其影响因素，该研究采用的流行病学研究方法是,"A 现况研究
B 队列研究
C 病例对照研究
D 生态学研究
E 现场试验"
下列哪种不是实验流行病学研究方法,"A 临床试验
B 现场试验
C 病例对照
D 社区试验"
目前在全世界已消灭的疾病是,"A 麻疹
B 鼠疫
C 天花
D 霍乱
E 血吸虫病"
流行病学属于什么范畴,"A 预防医学
B 基础医学
C 临床医学
D 生物医学
E 医学统计学"
一定时间内某人群死亡人数在该人群中所占的比例为,"A 引入率
B 续发率
C 发病率
D 病死率
E 累积死亡率"
英国海军外科医生将12名坏血病患者分为6组进行对比治疗试验，证实了坏血病是由于缺乏新鲜水果和蔬菜引起的，该研究开创了以下哪种流行病学研究方法的先河,"A 病例对照研究
B 队列研究
C 现况研究
D 临床试验
E 现场试验"
现代流行病学的内容包括,"A 传染性疾病
B 非传染性疾病
C 两者均是
D 两者均否"
流行病学与临床医学的主要区别在于,"A 研究疾病的病因学
B 提供诊断依据
C 在群体水平上研究疾病现象，以预防疾病为主
D 不涉及药物治疗
E 不研究疾病的进程"
归纳观察现象，解释疾病分布，提出病因假说,"A 描述流行病学
B 分析流行病学
C 实验流行病学
D 理论流行病学
E 血清流行病学"
在人群或动物中进行实验，观察在增加或消除某因素后疾病发病率的变化,"A 描述流行病学
B 分析流行病学
C 实验流行病学
D 理论流行病学
E 血清流行病学"
描述性研究的用途，以下哪个是错误的,"A 描述疾病和某种特征的分布
B 提出进一步病因研究的线索
C 检验和验证病因假说
D 提出和初步检验病因假说
E 进行社区诊断"
传统流行病学的内容包括,"A 传染性疾病
B 非传染性疾病
C 两者均是
D 两者均否"
关于流行病学研究方法的叙述，下列哪项是错误的,"A 人群现场是流行病学主要的实验室
B 理论流行病学研究又称数理流行病学
C 分析性研究可人为控制研究条件
D 流行病学研究可用于疾病诊断及预后评价
E 病例对照研究可提供病因线索"
流行病学的基本研究方法是,"A 观察法、求同法、数理法
B 观察法、实验法、数理法
C 求异法、实验法、数理法
D 剩余法、观察法、数理法
E 共变法、观察法、类比法"
可以直接获得暴露组与非暴露组的发病率或死亡率，并可以直接计算相对危险度的研究为,"A 描述性研究
B 病例对照研究
C 队列研究
D 流行病学实验研究
E 分析性研究"
流行病学研究的用途是,"A 探索病因及影响因素
B 评价预防策略和措施的效果
C 疾病监测
D 研究疾病的自然史
E 以上都对"
流行病学数学模型属于,"A 流行病学的观察法
B 流行病学的实验法
C 流行病学的理论与方法学研究
D 统计分析法
E 基础实验法"
队列研究属于哪一种流行病学研究方法,"A 描述流行病学
B 分析流行病学
C 实验流行病学
D 理论流行病学
E 临床试验"
流行病学研究方法包括,"A 描述疾病在人群、时间及空间的分布
B 病例对照研究及定群研究
C 现况调查
D 个案调查
E 描述性研究、分析性研究、实验性研究、理论性研究"
根据某高速公路交通事故统计，蓝色车子的车祸发生事件比其他车子的车祸发生事件要多。由此推论：蓝色车子发生车祸的危险性高于其他车子。此推论,"A 正确
B 不正确，因为没有进行统计学显著性检验
C 不正确，因为以流行率而未用发病率比较
D 不正确，因为不是基于率的比较
E 不正确，因为没有对照组"
下列哪项试验不属于流行病学实验研究,"A 观察性试验
B 社区试验
C 现场试验
D 临床试验"
美国芬兰等国提出：早期发现并治疗高血压，提倡不吸烟或戒烟，推广健康饮食以控制高血脂等来预防冠心病。这是因为,"A 冠心病是这些国家的主要死因
B 流行病学调查研究找出了该病的危险因素，提供了对该病的预防途径
C 冠心病是由多病因造成的
D 通过生活方式等的改变可以去除或减轻冠心病的这些危险因素
E 这些危险因素已为广大人民所承认"
健康女性HPV持续感染可引起宫颈癌前期病变，进一步发展可形成宫颈癌，对于宫颈癌患者继续跟踪随访，观察其转归状况和规律，此流行病学应用属于,"A 健康促进
B 疾病监测
C 疾病病因的研究
D 了解疾病的自然史
E 疾病预防"
下列哪种研究方法不属于描述性研究,"A 病例报告
B 横断面研究
C 病例对照研究
D 生态学研究
E 随访研究"
研究各项因素同疾病频率之间和各因素之间的定量关系用数学方程式表示，揭示他们之间的相互关系,"A 描述流行病学
B 分析流行病学
C 实验流行病学
D 理论流行病学
E 血清流行病学"
一般来说，流行病学研究的起点是,"A 描述性研究
B 病例对照研究
C 队列研究
D 流行病学实验研究
E 分析性研究"
流行病学中的群体是指,"A 有典型症状的病人
B 无症状的健康人
C 在一定范围内的人群，可以小到一个家庭，大到全人类
D 传染病患者
E 病原携带者"
流行病学的实际应用范围不包括,"A 了解疾病的自然史
B 疾病病因和危险因素研究
C 疾病预防和健康促进
D 疾病的监测
E 疾病的临床症状和体征"
流行病学的实验性研究不包括,"A 临床试验
B 社区干预试验
C 人群现场试验
D 病例对照研究
E 人群预防试验"
生态学研究属于,"A 流行病学的观察法
B 流行病学的实验法
C 流行病学的理论与方法学研究
D 统计分析法
E 基础实验法"
流行病学研究主要解决的问题是,"A 疾病分布及影响分布的因素
B 疾病的防治措施
C 疾病病因
D 增进人群健康的策略
E 以上都对"
下列有关现代流行病学叙述正确的是,"A 流行病学的研究范畴是疾病
B 流行病学研究的角度是个人或人群
C 流行病学从疾病或健康事件的分布出发
D 流行病学用观察的研究方法揭示健康事件的人群特征
E 流行病学是一门控制传染病在人群中流行的科学"
既可以产生假设又可以检验假设的研究为,"A 现况研究
B 病例对照研究
C 队列研究
D 实验流行病学
E 理论流行病学"
出生队列分析属于,"A 描述性流行病学方法
B 分析性流行病学方法
C 实验性流行病学方法
D 理论性流行病学方法
E 观察法与实验法的综合应用"
流行病学研究的主要用途是,"A 进行统计学检验
B 探讨病因与影响流行的因素及确定预防方法
C 研究疾病的发生概率
D 研究疾病的临床表现
E 研究疾病的死亡情况"
关于流行病学研究内容的描述不正确的是,"A 是以传染病为主的研究内容发展起来的
B 目前扩大到全面的疾病和健康状态
C 包括疾病、伤害和健康三个层次
D 疾病包括传染病、寄生虫病、地方病和非传染性疾病
E 健康是指无病和虚弱"
流行病学研究方法的核心特征是,"A 群体的特征
B 发展的特征
C 对比的特征
D 概率论与数理统计学的特征
E 社会心理的特征"
属于描述性研究的是,"A 疾病监测
B 队列研究
C 临床试验
D 临床指南
E 系统评价"
流行病学工作深度的三个范畴是,"A 设计、测量、评价
B 描述性流行病学、分析性流行病学、实验流行病学
C 观察法、实验法、数理法
D 传染病、非传染病、伤害
E 提示现象，找出原因，提供措施"
流行病学研究方法按设计类型可分为,"A 描述性研究、分析性研究、理论性研究和预防性研究
B 描述性研究、实验性研究、理论性研究和临床试验
C 描述性研究、分析性研究、实验性研究和理论性研究
D 现况研究、病例对照研究、队列研究和干预实验
E 横断面研究、验证性病例对照研究、双向性队列研究和实验性研究"
可以产生病因假设的流行病学研究方法不包括,"A 现况研究
B 队列研究
C 监测
D 病例对照研究
E 生态学研究"
关于流行病学，下列哪种说法是正确的,"A 流行病学从基因水平认识疾病
B 流行病学从细胞水平认识疾病
C 流行病学从群体水平认识疾病
D 流行病学从个体水平认识疾病
E 流行病学从分子水平认识疾病"
关于健康的概念，描述正确的是,"A 健康等于没有疾病和虚弱
B 身体生理生化的各种功能正常即为健康
C 精神处于完好状态即健康
D 身体精神状况达到完好状态即健康
E 身体、精神和社会适应能力完好状态就是健康"
我国关于流行病学的定义与历史上哪位流行病学专家提出的定义相一致,"A Stallybrass
B Mac Mahon
C Lilienfeld
D Last
E Rothman"
临床试验属于,"A 流行病学的观察法
B 流行病学的实验法
C 流行病学的理论与方法学研究
D 统计分析法
E 基础实验法"
流行病学研究是从,"A 个体水平研究疾病
B 群体水平研究疾病
C 分子水平研究疾病
D 细胞水平研究疾病
E 亚细胞水平研究疾病"
队列研究属于,"A 描述性研究
B 分析性研究
C 实验性研究
D 理论与方法学研究
E 统计分析法"
关于分析流行病学描述正确的是,"A 为病因研究提供线索
B 提出病因假设
C 证实或确证假设
D 检验假设
E 描述疾病和健康状态的分布"
下列属于循证决策的影响因素的是,"A 证据
B 现有资源
C 价值取向
D A＋B＋C
E A＋B"
异质性检验的目的是,"A 检查各个独立研究的统计学是否存在异质性
B 检查各个独立研究的结果是否具有可合并性
C 检查各个独立研究的干预措施是否存在异质性
D 检查各个独立研究的研究对象临床特征是否存在异质性
E 检查各个独立研究的方法学是否存在异质性"
从循证医学的观点看，不同种类的研究方法提供的证据的质量差别很大，最高质量的研究方法应该是,"A 个人经验和观点
B 无对照病例系列
C 随机对照试验
D 系统综述
E 非随机对照研究"
循证医学实践的核心是,"A 素质良好的临床医生
B 最佳的研究证据
C 临床流行病学基本方法和知识
D 患者的参与和合作
E 必要的医疗环境和条件"
发表偏倚是指,"A 世界上几个主要的医学文献检索库绝大部分来自发达国家，发展中国家比例很小
B 研究者往往根据需要自定一个纳入标准来决定某些研究的纳入与否
C 有统计学意义的研究结果较无统计学意义的研究结果被报告和发表的可能性更大
D 研究结果的筛选过程中筛选者主观意愿的影响而引入的偏倚
E 只检索了某种语言的文献资料"
循证医学所收集的证据中，质量最佳者为,"A 单个的大样本随机对照试验
B 队列研究
C 病例对照研究
D 基于多个质量可靠的大样本随机对照试验所做的系统评价
E 专家意见"
在循证实践过程中，常根据PIC0格式来构建个可以回答的临床问题，其中的P指的是,"A 干预措施
B 可比对照
C 研究对象
D 结局指标
E 研究问题"
把最好的证据用于患者群体和人群，制定保健策略和措施属于,"A 系统综述
B meta分析
C 循证医学
D 循证医疗卫生决策
E 临床实践指南"
失安全数越大，说明meta分析,"A 各个独立研究的同质性越好
B 各个独立研究的同质性越差
C 结果越稳定，结论被推翻的可能性越小
D 结果越不稳定，结论被推翻的可能性越大
E 结果可靠性越差"
关于循证医学的实质，以下说法最为恰当的是,"A 循证医学就是进行系统综述和临床试验
B 循证医学就是临床流行病学
C 循证医学就是基于证据进行实践
D 循证医学就是检索研究证据
E 循证医学就是评价出最好的研究证据"
一项筛检试验能将实际无病的人正确地判断为非患者的能力称为,"A 特异度
B 灵敏度
C 可靠性
D 一致性
E 真实性"
具有统计学显著性意义的研究结果较无显著性意义和无效的结果被报告的可能性更大，属于,"A 引用偏倚
B 发表偏倚
C 文献检索偏倚
D 多次发表偏倚
E 有偏倚的人选标准"
一项筛检试验能将实际有病的人正确判为患者的能力称为,"A 特异度
B 灵敏度
C 可靠性
D 一致性
E 真实性"
系统综述的步驟和方法不包括,"A 选题和制定研究方案
B 检索和收集原始文献
C 严格评价证据
D 根据入选标准选择合格的研究
E 评估入选研究的质量"
关于循证医学的描述，下列选项错误的是,"A 随机对照试验及其系统综述的结论通常是最佳证据
B 没有实验研究证据时不能实施循证医学
C 循证医学适合于临床诊治，也适合于预防
D 横断面研究证据有时还优于随机对照试验
E 患者的意见是实践循证医学的重要考虑因素之一"
检索文献时，通过文章后面所列的参考文献进一步查找其他相关文章，可带来,"A 引用偏倚
B 发表偏倚
C 文献检索偏倚
D 多次发表偏倚
E 有偏倚的人选标准"
完整的循证医学实践过程不包括,"A 提出一个临床实践问题
B 寻找一个临床实践问题
C 严格评价证据
D 寻找回答这一问题的最佳证据
E 后效评价"
在下列研究类型中，指导临床实践或公共卫生干预，证据效力最高的研究是,"A 传统综述
B 系统综述
C 实验研究
D 实验研究的meta分析
E 分子流行病学研究的meta分析"
进行meta分析时，如果各研究间存在严重异质性，要根据研究特征如性别年龄等进行,"A 随机效应模型
B 亚组分析
C 固定效应模型
D 敏感性分析
E meta回归"
某一特定的筛检试验，当用于患病率较低的人群时，以上叙述正确的是,"A 灵敏度升高
B 阳性预测值升高
C 阴性预测值升高
D 特异度升高
E 以上都不是"
下列哪项属于系统综述特有的偏倚,"A 入院率偏倚
B 现患病例-新发病例偏倚
C 检出症候偏倚
D 文献检索偏倚
E 无应答偏倚"
Medicine指的是,"A 传统综述
B 系统回顾
C 系统综述
D 循证医学
E 叙述性综述"
系统综述中最重要的偏倚来源是,"A 选择偏倚
B 信息偏倚
C 混杂偏倚
D 发表偏倚
E 引用偏倚"
某一特定的筛检试验，当用于患病率较高的人群时，以上叙述正确的是,"A 灵敏度升高
B 阳性预测值升高
C 阴性预测值升高
D 特异度升高
E 以上都不是"
进行meta分析时，如果各研究间无统计学异质性，采用,"A 随机效应模型
B 亚组分析
C 固定效应模型
D 敏感性分析
E meta回归"
下列不是二次研究证据的是,"A 系统评价
B 证据概要
C 综合证据
D 随机对照试验
E 临床实践指南"
迸行系统综述的目的是,"A 提出一个临床实践问题
B 严格评价证据
C 应用最佳证据
D 为循证医学提供最好的证据
E 后效评价"
如果漏斗图呈明显的不对称，说明meta分析,"A 统计学检验效能不够
B 各个独立研究的同质性差
C 合并效应值没有统计学意义
D 可能存在偏倚
E 结果更不可靠"
meta分析中主要统计分析包括,"A 对各个独立的研究结果进行异质性检验，并根据检验结果选择适当模型进行加权合并各个研究的统计量
B 计算各个独立研究的效应大小后按照Mental-Haenszel法进行合并分析
C 对各个独立研究结果进行异质性检验和计算失安全数
D 计算各个独立研究的效应大小和合并后的综合效应
E 对各个独立研究结果进行异质性检验和Mental-Haenszel分层分析"
在5S循证医学信息服务模式演进的过程中，提供证据的最高形式是,"A 原始研究
B 系统综述
C 证据概要
D 综合证据
E 证据系统"
review指的是,"A 系统回顾
B 传统综述
C 系统综述
D 叙述性综述
E 循证医学"
下列说法错误的是,"A 循证医学实践得到的最佳证据在用于具体患者的时候具有特殊性，必须因人而异
B 循证医学实践将为临床决策提供依据，因此唯一强调的是证据
C 循证医学不等于meta分析
D 循证医学实践不一定会降低医疗费用
E 循证医学实践得到的证据并非一成不变"
循证医学实践的基础不包括,"A 病人的参与
B 病人的爱好
C 最佳的研究证据
D 高素质的临床医生
E 临床流行病学的基础知识和基本方法"
下面关于循证医学证据的论述正确的是,"A 传统的医学实践是不讲证据的，循证医学实践则是讲证据的
B 传统的医学实践是基于证据的，循证医学实践也是基于证据的，它们所基于的证据相同。
C 传统医学实践是基于证据的，循证医学实践也是基于证据的，它们所基于的证据不同。传统医学基于经验证据，循证医学基于科学研究的现有的最好的证据，而不会考虑病人的情况或临床经验。
D 传统医学实践是基于证据的，循证医学实践也是基于证据的，它们所基于的证据不同。传统医学基于经验证据，循证医学基于科学研究的现有的最好的证据，但也要根据临床经验和病人的情况做出合适的决定。
E 以上都不对"
循证医学就是,"A 系统评价
B meta分析
C 临床流行病学
D 查找证据的医学
E 最佳证据、临床经验和患者价值的有机结合"
下列关于循证医疗卫生决策与循证医学的叙述，错误的是,"A 循证医学是最佳的证据、临床经验和病人价值的有机结合
B 循证医学把最好的证据只用于病人个体
C 循证医疗卫生决策把最好的证据只用于病人个体
D 循证医疗卫生决策把最好的证据用于病人群体和人群
E 循证医疗卫生决策主要包括循证政策、循证采购、循证管理、循证护理"
meta分析在合并各个独立研究结果前应进行,"A 异质性检验
B 相关性检验
C 森林图示研究
D 回归分析
E 标准化"
在疾病的诊治过程中，将医生个人的临床经验与现有最好的临床科学证据相结合，同时考虑患者的价值，最后为每个患者作出最佳诊治决策，属于,"A 实验医学
B 现代医学
C 临床医学
D 基础医学
E 循证医学"
进行meta分析时，如果各研究间存在统计学异质性，但合并资料仍具有临床意义，采用,"A 随机效应模型
B 亚组分析
C 固定效应模型
D 敏感性分析
E meta回归"
在分析食物中毒暴发的可能原因时，适合采用的指标是,"A 发病率
B 患病率
C 死亡率
D 罹患率
E 续发率"
用于比较传染病传染力的强弱，分析传染病流行因素及评价防疫措施的效果,"A 引入率
B 续发率
C 死亡率
D 病死率
E 发病率"
对儿童进行急性呼吸道感染检测，测量疾病的频率指标应选用,"A 发病率
B 罹患率
C 患病率
D 期间患病率
E 时点患病率"
测量某地某病程短的疾病频率时，最能反映有价值信息的指标是,"A 发病率
B 患病率
C 死亡率
D 调整死亡率
E 病死率"
疾病的三间分布是指,"A 年龄、性别、季节分布
B 年龄、季节、职业分布
C 年龄、季节、地区分布
D 地区、季节、职业分布
E 时间、地区、人群分布"
患病率通常用来表示,"A 病程短的慢性病的发生或流行情况
B 病程长的慢性病的发生或流行情况
C 病程短的传染病的发生或流行情况
D 暴发疾病的发生和流行情况
E 流行疾病的发生和流行情况"
关于病死率的描述不正确的是,"A 用于说明疾病的危害程度
B 医护水平的提高可以降低病死率
C 不可以直接比较不同医院的病死率
D 患病率的降低可以降低病死率
E 诊断水平提高可以降低病死率"
1988年1月19日，某市急性病毒性肝炎疫情骤然上升，数日内发病人数成倍增长，至3月18日，共发生急性病毒性肝炎292301例，平均罹患率82‰，为常年发病率的12倍。死亡11例，病死率为76/10万。该现象属于,"A 散发
B 暴发
C 流行
D 长期趋势
E 周期性"
世界各地大部分恶性肿瘤的发病率和死亡率呈上升趋势，下列哪种因素不是造成该趋势的原因,"A 世界人口增加
B 人口老龄化
C 工业化进程加快
D 生态环境的改变"
在一定期间内，某人群中总死亡人数在该人群中所占的比例,"A 发病率
B 死亡率
C 罹患率
D 病死率
E 患病率"
许多呼吸道传染病存在周期性流行的现象、其主要原因是,"A 易感者的积累
B 自然环境的周期性变化
C 人口流动
D 发病率变动
E 以上都不是"
研究一种病在一个单位内的传播能力时用,"A 死亡率
B 患病率
C 发病率
D 续发率"
哪项不是描述疾病流行强度的术语,"A 暴发
B 散发
C 流行
D 大流行
E 季节性"
某县有人口10万人，1997年因各种疾病死亡1000人。该年共发生结核300人，原有结核400人，1997年共有60人死于结核，请问：结核的病死率为,"A 60/300
B 60/400
C 60/700
D 60/1000
E 60/10万"
罹患率可以表示为,"A （观察期内的病例数÷同期平均人口数）✕100%
B （观察期内的新病例数÷同期暴露人口数）✕100%
C （一年内的新病例数÷同年暴露人口数）✕100%
D （观察期内的新病例数÷同期平均人口数）✕100%
E （观察期内的新旧病例数÷同期暴露人口数）✕100%"
地区分布,"A 森林脑炎见于春天
B 吸毒、不正当性行为可致艾滋病
C 城市肺癌发病率和死亡率高于农村
D 流行性乙型脑炎和脊髓灰质炎多有隐性流行
E 霍乱可发生大流行"
使用一种新疗法可使某病的康复人数增加，则会发生,"A 该病的发病率减少
B 该病的发病率增加
C 该病的患病率减少
D 该病的患病率增加
E 只减少发病率不减少患病率"
下列哪项指标可对患某病的危险进行测量,"A 发病率乘以该病的平均病程
B 发病率
C 患病率
D 发病率除以患病率
E 患病率乘以该病的平均病程"
